2025-06-17 02:21:53.647 | INFO     | __main__:main:73 - Starting collection from wikipedia
2025-06-17 02:21:53.647 | INFO     | __main__:main:74 - Output directory: data/raw
2025-06-17 02:21:53.647 | INFO     | __main__:main:75 - Batch size: 1000, Limit: 1
2025-06-17 02:21:53.647 | INFO     | __main__:main:76 - Minimum quality score: 0.1
2025-06-17 02:21:53.647 | INFO     | __main__:main:77 - Debug mode: False
2025-06-17 02:21:53.648 | INFO     | storage.parquet_manager:__init__:45 - Initialized ParquetManager at data/raw
2025-06-17 02:21:53.928 | INFO     | processors.quality_scorer:__init__:43 - spaCy model loaded successfully
2025-06-17 02:21:53.932 | INFO     | collectors.base_collector:__aenter__:69 - Started WikipediaCollector
2025-06-17 02:21:53.942 | INFO     | collectors.base_collector:load_checkpoint:195 - Loaded checkpoint from 2025-06-17T02:20:27.004143
2025-06-17 02:21:53.943 | INFO     | collectors.wikipedia_collector:extract:74 - Resuming from checkpoint with 6856 processed pages
2025-06-17 02:21:53.943 | INFO     | collectors.wikipedia_collector:extract:78 - Processing category: Category:Video_games_by_year
2025-06-17 02:21:54.269 | INFO     | collectors.wikipedia_collector:extract:83 - Found 0 total pages in Category:Video_games_by_year
2025-06-17 02:21:54.269 | INFO     | collectors.wikipedia_collector:extract:87 - Processing 0 new pages from Category:Video_games_by_year
2025-06-17 02:21:54.269 | INFO     | collectors.wikipedia_collector:extract:78 - Processing category: Category:Windows_games
2025-06-17 02:22:07.609 | INFO     | collectors.wikipedia_collector:extract:83 - Found 5126 total pages in Category:Windows_games
2025-06-17 02:22:07.612 | INFO     | collectors.wikipedia_collector:extract:87 - Processing 5126 new pages from Category:Windows_games
2025-06-17 02:22:07.879 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping The Addams Family: Mansion Mayhem - content too short
2025-06-17 02:22:07.925 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Anno 1503: Treasures, Monsters and Pirates - content too short
2025-06-17 02:22:07.933 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Alex Kidd in Miracle World DX - content too short
2025-06-17 02:22:07.949 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Anno 1602: By Royal Command - content too short
2025-06-17 02:22:07.949 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Babe: A Little Pig Goes a Long Way - content too short
2025-06-17 02:22:07.949 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Anno 1701: The Sunken Dragon - content too short
2025-06-17 02:22:07.950 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping After Dark Games - content too short
2025-06-17 02:22:07.950 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Anno 1404: Venice - content too short
2025-06-17 02:22:07.973 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Anno 1602: New Islands, New Adventures - content too short
2025-06-17 02:22:08.001 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Anteworld - content too short
2025-06-17 02:22:08.257 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Castlevania Anniversary Collection - content too short
2025-06-17 02:22:08.258 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Barbie as the Princess and the Pauper (video game) - content too short
2025-06-17 02:22:08.259 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Bloons Monkey City - content too short
2025-06-17 02:22:08.265 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Big Money! - content too short
2025-06-17 02:22:08.269 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Castlevania Advance Collection - content too short
2025-06-17 02:22:08.270 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Blue Sphere - content too short
2025-06-17 02:22:08.272 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Blade Runner: Enhanced Edition - content too short
2025-06-17 02:22:08.272 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Blood: Fresh Supply - content too short
2025-06-17 02:22:08.272 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Baten Kaitos I & II HD Remaster - content too short
2025-06-17 02:22:08.286 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Cabela's GrandSlam Hunting: North American 29 - content too short
2025-06-17 02:22:08.544 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Clock Tower Rewind - content too short
2025-06-17 02:22:08.546 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Devil May Cry HD Collection - content too short
2025-06-17 02:22:08.548 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Dead or Alive 5 Last Round: Core Fighters - content too short
2025-06-17 02:22:08.550 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Collection of SaGa: Final Fantasy Legend - content too short
2025-06-17 02:22:08.551 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Creatures of Aether - content too short
2025-06-17 02:22:08.554 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Code of Princess EX - content too short
2025-06-17 02:22:08.556 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Dead or Alive 6: Core Fighters - content too short
2025-06-17 02:22:08.557 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Dark Horizons Lore: Invasion - content too short
2025-06-17 02:22:08.562 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Clock Tower: Rewind - content too short
2025-06-17 02:22:08.768 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Descent: FreeSpace – Silent Threat - content too short
2025-06-17 02:22:09.025 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Dokapon Kingdom: Connect - content too short
2025-06-17 02:22:09.028 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Digimon Jintrix - content too short
2025-06-17 02:22:09.028 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping DmC: Devil May Cry Definitive Edition - content too short
2025-06-17 02:22:09.035 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Disneyland Adventures - content too short
2025-06-17 02:22:09.037 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Digimon Super Rumble - content too short
2025-06-17 02:22:09.037 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Dreams of Another - content too short
2025-06-17 02:22:09.042 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Dynomite! (video game) - content too short
2025-06-17 02:22:09.043 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Dweller's Empty Path - content too short
2025-06-17 02:22:09.044 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Dungeons of Aether - content too short
2025-06-17 02:22:09.049 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Dragon Ball: The Breakers - content too short
2025-06-17 02:22:09.310 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Final Fantasy XI: Treasures of Aht Urghan - content too short
2025-06-17 02:22:09.314 | DEBUG    | collectors.wikipedia_collector:extract_item:212 - Skipping Final Fantasy XI: Rise of the Zilart - content too short
